#separator:comma
#html:false
安全,あんぜん Safety
意見,いけん Opinion
会議,かいぎ Meeting
関係,かんけい Relationship
技術,ぎじゅつ Technology
客,きゃく Guest
教育,きょういく Education
空港,くうこう Airport
形,かたち Shape
経済,けいざい Economy
警察,けいさつ Police
研究,けんきゅう Research
原因,げんいん Cause
光,ひかり Light
高校,こうこう High school
国際,こくさい International
最近,さいきん Recently
最初,さいしょ First
最後,さいご Last
男性,だんせい Male
女性,じょせい Female
夫,おっと Husband
妻,つま Wife
子,こ Child
親,おや Parent
彼女,かのじょ She / Girlfriend
娘,むすめ Daughter
産業,さんぎょう Industry
工業,こうぎょう Manufacturing industry
市民,しみん Citizen
試合,しあい Match
事故,じこ Accident
事務所,じむしょ Office
時代,じだい Era
自由,じゆう Freedom
社会,しゃかい Society
社長,しゃちょう Company president
将来,しょうらい Future
場所,ばしょ Place
人口,じんこう Population
世界,せかい World
政治,せいじ Politics
生活,せいかつ Life
戦争,せんそう War
特に,とくに Especially
特別,とくべつ Special
反対,はんたい Opposition
番組,ばんぐみ Program
必要,ひつよう Necessary
部長,ぶちょう Department manager
課長,かちょう Section manager
文化,ぶんか Culture
貿易,ぼうえき Trade
予定,よてい Schedule
理由,りゆう Reason
歴史,れきし History
工場,こうじょう Factory
行う,おこなう To conduct
以内,いない Within
医学,いがく Medical science
科学,かがく Science
文学,ぶんがく Literature
火,ひ Fire
会場,かいじょう Venue
簡単,かんたん Simple
危険,きけん Danger
機会,きかい Opportunity
競争,きょうそう Competition
交通,こうつう Traffic
今度,こんど Next time
試験,しけん Exam
寺,てら Temple
十分,じゅうぶん Enough
森,もり Forest
林,はやし Grove
島,しま Island
昔,むかし Long ago
説明,せつめい Explanation
地震,じしん Earthquake
比べる,くらべる To compare
普通,ふつう Ordinary
壁,かべ Wall
法律,ほうりつ Law
夢,ゆめ Dream
利用,りよう Use
例えば,たとえば For example
連絡,れんらく Contact
音,おと Sound
途中,とちゅう On the way
選ぶ,えらぶ To choose
思う,おもう To think
確か,たしか Certain
気分,きぶん Mood
急,きゅう Urgent
空気,くうき Air
決して,けっして Never
血,ち Blood
校長,こうちょう Principal
高校生,こうこうせい High school student
残念,ざんねん Regret
住所,じゅうしょ Address
小学校,しょうがっこう Elementary school
小説,しょうせつ Novel
息子,むすこ Son
卒業,そつぎょう Graduation
美術館,びじゅつかん Art museum
必ず,かならず Surely
複雑,ふくざつ Complicated
変わる,かわる To change
味,あじ Taste
代わり,かわり Substitute
首,くび Neck
割合,わりあい Ratio
一度,いちど Once
運転手,うんてんしゅ Driver
会話,かいわ Conversation
楽しめ,たのしめ Enjoyment
季節,きせつ Season
興味,きょうみ Interest
港,みなと Port
郊外,こうがい Suburb
失敗,しっぱい Failure
生きる,いきる To live
席,せき Seat
線,せん Line
中学校,ちゅうがっこう Middle school
注意,ちゅうい Attention
答える,こたえる To answer
入院,にゅういん Hospitalization
入学,にゅうがく School admission
仕方,しかた Way (of doing something)
台風,たいふう Typhoon
値段,ねだん Price
船,ふね Ship
裏,うら Back/Reverse side
安心,あんしん Relief
海岸,かいがん Coast
間,あいだ Between
教会,きょうかい Church
故障,こしょう Breakdown
