病院　びょういん 
病気　びょうき
毎日　まいにち
木　き
問題　もんだい
来年　らいねん
今年　ことし
三　さん 
二人　ふたり
いっしょ一緒
英語 えいご
結婚 けっこん
公園 こうえん　
左　ひだり　
右　みぎ
雑誌　ざっし
女　おんな
色　いろ
生徒　せいと
先月　せんげつ
体　からだ
大切　たいせつ　な
大変　たいへん　な
電気　でんき
動物　どうぶつ
二つ　ふたつ
年　とし
半分　はんぶん
本当　ほんとう
旅行　りょこう
料理　りょうり
練習　れんしゅう
一昨年　おととし
魚　さかな
横　よこ
教室　きょうしつ
建物　たてもの　立て
黒剣士　くろ
苦労　くろう
三つ　みっつ
紙　かみ
手紙　てがみ
授業　じゅぎょう
青　あお
雪　ゆき
川　かわ
全部　ぜんぶ
側　そば
大使館　たいしかん
大人　おとな
冬　ふゆ
50 vocab
白　しろ
半　はん
番号　ばんごう
勉強　べんきゅう
野菜　やさい
有名　ゆうめい
来月　らいげつ
緑　みどり
毎年　まいとし
門　もん
両親　りょうしん
お父さん　おとうさん
お母さん　おかあさん　
広い　ひろい
自転車　じてんしゃ
窓　まど
大勢　おおぜい
昼　ひる
夜　よる
電車　でんしゃ
隣　となり
弟　おとうと
兄　あに
妹　いもうと
兄弟　きょうだい
警官　けいかん
玄関　げんかん
今週　こんしゅう
歯　　は
図書館　としょかん
静か　しずか　な
先週　せんしゅう
来週　らいしゅう
地下鉄　ちかてつ
地図　ちず
池　いけ
肉　にく
飛行機　ひこうき
文章　ぶんしょう
毎週　まいしゅう
友達　ともだち
卵　たまご
入り口　いりぐち
毎月　まいつき
明日　あした
お茶　おちゃ
医者　いしゃ
皆さん　みなさん
角　かど
靴　くつ
元気　げんき
後　うしろ
四つ　よっつ
女の子　おんなのこ
庭　にわ
天気　てんき
便利　べんり
立派　りっぱ
階段　かいだん
机　つくえ
戸　と
台所　だいどころ
冷蔵庫　れいぞうこ
郵便局　ゆうびんきょく
切手　きって
夕方　ゆうがた
嫌　いや
大きい　おおきい
牛肉　ぎゅうにく
牛乳　ぎゅうにゅう
結構　けっこう
嫌い　きらい
高い　たかい
砂糖　さとう
持つ　もつ
縦　たて
出口　でくち
食堂　しょくどう
新しい　あたらしい
大好き　だいすき
売る　うる
映画館　えいがかん
果物　くだもの
五つ　いつつ
作文　さくぶん
洗濯　せんたく
掃除　そうじ
明るい　あかるい
風邪　かぜ
箱　はこ
喫茶店　きっさてん
去年　きょねん
財布　さいふ
散歩　さんぽ
辞書　じしょ
切符　きっぷ
辺　へん
廊下　ろうか
昨日　きのう
封筒　ふうとう
黄色　きいろ
交差点　こうさてん
鉛筆　えんぴつ
上手　じょうず
下手　へた
紅茶　こうちゃ
七つ　ななつ
宿題　しゅくだい
多分　たぶん
低い　ひくい
熱い　あつい
暇　ひま
晴れ　はれ
赤い　あかい
茶色　ちゃいろ
長い　ながい
丈夫　じょうぶ
余り　あまり　
向こう　むこう

---

服　ふく
ベルト　ネクタイ
指輪　ゆびわ
手袋　てぶくろ
マフラー
時計　とけい
イアリング
ネックレス
背広　せびろ

メガネ

かぶる
帽子　ぼうし
ヘルメット

着る　きるもの
Tシャツ
ジャケット
コート
セータ
シャツ
プラウス
スーツ
着るワンピース

履く　はく
ズボン
半ズボン
スカート
靴　くつ
靴下　くつした
ブーツ

---
さすが
歴史　れきし
きっと
