安全  あんぜん
意見　いけん
会議　かいぎ
関係　かんけい
技術　ぎじゅつ　
客　　きゃく
教育　きょういく
空港　くうこう
形　　かたち
経済　けいざい
警察　けいさつ
研究　けんきゅう
原因　げんいん
光　　ひかり
高校　こうこう
国際　こくさい
最近　さいきん
最初　さいしょ
最後　さいご
男性　だんせい
女性　じょせい
夫　　おっと
妻　　つま
子　　こ
親　おや
彼女　かのじょ
娘　むすめ

産業　さんぎょう
工業　こうぎょう

市民　しみん
試合　しあい
事故　じこ
事務所　じむしょ
時代　じだい
自由　じゆう
社会　しゃかい
社長　しゃちょう
将来　しょうらい
場所　ばしょ
人口　じんこう
世界　せかい
政治　せいじ
生活　せいかつ
戦争　せんそう
特に　とくに
特別　とくべつ
反対　はんたい
番組　ばんぐみ
必要　ひつよう
部長　ぶちょう
課長　かちょう
文化　ぶんか
貿易　ぼうえき
予定　よてい
理由　りゆう
歴史　れきし
工場　こうじょう
行う　おこなう
以内　いない
医学　いがく
科学　かがく
文学　ぶんがく
火　ひ

会場　かいじょう
簡単　かんたん
危険　きけん
機会　きかい
競争　きょうそう
交通　こうつう

今度　こんど
試験　しけん
寺　てら
十分　じゅうぶん
森 もり
林　はやし
島　しま

昔　むかし
説明　せつめい
地震　じしん

比べる　くらべる
普通　ふつう

壁　かべ
法律　ほうりつ
夢　ゆめ

利用　りよう

例えば　たとえば
連絡　れんらく
音　おと
途中　とちゅう
選ぶ　えらぶ
思う　おもう
確か
気分　きぶん
急　きゅう
空気　くうき
決して　けっして
血　ち
校長　こうちょう
高校生　こうこうせい
残念　ざんねん
住所　じゅうしょ
小学校　しょうがっこう
小説　しょうせつ
息子　むすこ
卒業　そつぎょう
美術館　びじゅつかん
必ず　かならず
複雑　ふくざつ
変わる　かわる
味　あじ
代わり　かわり
首　くび
割合　わりあい
一度　いちょど

運転手　うんてんしゅ
会話　かいわ
楽しめ　たのしめ
季節　きせつ
興味　きょうみ
港　みなと
郊外　こうがい
失敗　しっぱい
生きる　いきる
席　せき
線　せん
中学校　ちゅうがっこう
注意　ちゅうい
答える　こたえる
入院　にゅういん
入学　にゅうがく
仕方　しかた
台風　たいふう
値段　ねだん
船　ふね
裏　うら
安心　あんしん
海岸　かいがん
間　あいだ
教会　きょうかい
故障　こしょう
胡椒　こしょう
公務員　こうむいん
枝　えだ
趣味　しゅみ
柔道　じゅうどう
紹介　しょうかい
商会　しょうかい
新聞社　しんぶんしゃ
神社　じんじゃ
人形　にんぎょう
星　ほし
盛ん　さかん
先輩　せんぱい
駐車場　ちゅうしゃじょう
点　てん
熱　ねつ
漫画　まんが
無理　むり
約束　やくそく
用意　ようい
腕　うで
終わり　おわり
周り　まわり
一生懸命　いっしょうけんめい
運ぶ　はこぶ
雲　くも
規則　きそく
鏡　かがみ
近所　きんじょ
砂　すな
指　ゆび
習慣　しゅうかん
水道　すいどう
赤ちゃん　あかちゃん
草　くさ
送る　おくる
打つ　うつ
虫　むし
適当　てきとう
湯　ゆ
髪　かみ
表　おもて
訪ねる　たずねる
翻訳　ほうやく
毛　け
予約　よやく
包む　つつむ
売り場　うりば
下げる　さげる
糸　いと
集める　あつめる
水泳　すいえい
店員　てんいん
都合　つごう
動物園　どうぶつえん
道具　どうぐ
日記　にっき
背中　せなか
両方　りょうほう
具合　ぐあい
二階建て　二階建て
湖　みずうみ
講義　こうぎ
合う　あう
引っ越す　ひっこす
西洋　せいよう
大事　だいじ
展覧会　てんらんかい
内　うち
美しい　うつくしい
返事　へんじ
踊り　おどり
踊る　おどる
昼間　ひるま
会議室　かいぎしつ
研究室　けんきゅうしつ
為　ため
隅　すみ
細かい　こまかい
坂　さか
場合　ばあい
数学　すうがく
祖父　そふ
祖母　そぼ
着物　きもの
着る　きる
注射　ちゅうしゃ
丁寧　ていねい
田舎　いなか
盗む　ぬすむ
倍　ばい
旅館　りょかん
食料品　しょくりょうひん
屋上　おくじょう
火事　家事　かじ
考える　かんがえる
講堂　こうどう
地理　ちり
倒れる　たおれる
特急　とっきゅう
布団　ふとん
落ちる　おちる
辞典　じてん
下着　したぎ
苦い　にがい
大分　だいぶ
棚　たな
留守　るす
引き出し　ひきだし
見つかる　みつかる
以上　いじょう
以下　いか
花見　はなみ
絹　きぬ
畳　たたみ
飾る　かざる
退院　たいいん
暮れる　くれる
冷房　れいぼう
起こす　おこす
上がる　あがる
揚がる　揚げる
大体　だいたい
ご存知　ごぞんじ
景色　けしき
見物　けんぶつ
指輪　ゆびわ
赤ん坊　あかんぼう
騒ぐ　さわぐ
通る　とおる
漬ける　つける
電報　でんぽう
飛行場　ひこうじょう
品物　しなもの
優しい　やさしい
贈り物　おくりもの
決まる　きまる
決める　きめる
一杯　いっぱい
喜ぶ　よろこぶ
高等学校　こうとうがっこう
思い出す　おもいだす
暖房　だんぼう
逃げる　にげる
変　へん
又は　または
泥棒　どろぼう
楽しむ　たのしむ
見える　みえる
受ける　うける
探す　さがす
下宿　げしゅく
始める　はじめる
手袋　てぶくろ
申し上げる　もしあげる
発音　はつおん
落とす　おとす
厳しい　きびしい
残る　のこる
小鳥　ことり
遠慮　えんりょ
壊す　こわす
汽車　きしゃ
踏む　ふむ
踏み鳴らす ふみならす
拒む　こばむ
家内　かない
間に合う　まにあう
急行　きゅうこう
集まる　あつまる
通う　かよう
怒る　おこる
柔らかい　やわらかい
壊れる　こわれる
申す　もうす
払う　はらう
増える　ふえる
玩具　おもちゃ
急ぐ　いそぐ
不便　ふべん
文法　ぶんぽう
木綿　もめん
深い　ふかい
沸かす　わかす
役に立つ　やくにたつ
乗り換える　のりかえる
引き出す　ひきだす
向かう　むかう
別れる　わかれる
